expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
635|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1993-94|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1963-07-30|6.0|BADAJOZ|560.0|RIBERA DEL FRESNO
636|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2002-03|FEX|5|Título Universitario|2|Curso de Adaptación||||H|1979-03-19|6.0|BADAJOZ|785.0|ZAFRA
637|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1985-86|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1967-02-17|10.0|CÁCERES|584.0|PLASENCIA
638|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1995-96|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1979-02-27|10.0|CÁCERES|1.0|CÁCERES
639|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2003-04|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1981-10-18|6.0|BADAJOZ|1.0|BADAJOZ
640|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1978-79|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1961-04-17|10.0|CÁCERES|1.0|CÁCERES
641|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1982-83|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1962-01-02|10.0|CÁCERES|560.0|PERALES DEL PUERTO
642|1626|GRADO EN EDIFICACIÓN|2010-11|N|N||N|N|1972-73|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1947-01-26|6.0|BADAJOZ|1.0|BADAJOZ
643|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2003-04|SEP|5|Título Universitario|2|Curso de Adaptación||||D|1977-02-20|6.0|BADAJOZ|215.0|DON BENITO
644|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1995-96|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1979-08-12|6.0|BADAJOZ|740.0|VILLAFRANCA DE LOS BARROS
