expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
175|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|S|S|2009-10|JUN|1|Selectividad|5|LOE (Grados)|7.322|7.322|112-I.E.S. MUÑOZ TORRERO|H|1992-12-28|6.0|BADAJOZ|565.0|RISCO
176|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2009-10|SEP|1|Selectividad|5|LOE (Grados)|5.75||244-I.E.S. ALBALAT|H|1991-07-24|10.0|CÁCERES|516.0|NAVALMORAL DE LA MATA
177|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2009-10|JUN|1|Selectividad|5|LOE (Grados)|6.022||145-I.E.S. LOS MORISCOS|H|1991-04-06||||
178|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2009-10|JUN|1|Selectividad|5|LOE (Grados)|6.974|6.974|139-I.E.S. ENRIQUE DÍEZ CANEDO|H|1992-05-19|6.0|BADAJOZ|510.0|PUEBLA DE LA CALZADA
179|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2009-10|JUN|1|Selectividad|5|LOE (Grados)|6.418||139-I.E.S. ENRIQUE DÍEZ CANEDO|H|1992-08-20|6.0|BADAJOZ|1.0|BADAJOZ
180|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2010-11|N|N|N|N|S|2007-08|SEP|1|Selectividad|1|LOGSE|5.65|||H|1988-12-03|6.0|BADAJOZ|410.0|MÉRIDA
181|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2010-11|N|N|N|N|S|2005-06|SEP|1|Selectividad|1|LOGSE|5.73|||H|1988-12-02||||
182|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2010-11|N|N|N|N|N|2006-07|JUN|1|Selectividad|1|LOGSE|7.98|||H|1989-01-10|6.0|BADAJOZ|410.0|MÉRIDA
186|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2010-11|N|N|N|N|S|2006-07|JUN|1|Selectividad|1|LOGSE|6.0|||H|1989-07-25|6.0|BADAJOZ|435.0|MONTIJO
188|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|E|N|S|2010-11|JUN|3|Formación Profesional|1|Ciclos formativos|6.5||202-I.E.S. JAVIER GARCÍA TÉLLEZ|H|1982-10-27|10.0|CÁCERES|1.0|CÁCERES
189|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2010-11|S|S|S|N|N|2007-08|JUN|1|Selectividad|1|LOGSE|6.59||213-I.E.S. MARIO ROSO DE LUNA|H|1990-11-25|45.0|TOLEDO|660.0|TALAVERA DE LA REINA
190|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|E|N|S|2010-11|SEP|1|Selectividad|5|LOE (Grados)|5.986||108-I.E.S. MAESTRO DOMINGO CÁCERES|H|1992-07-28|51.0|CEUTA|1.0|CEUTA
191|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|N|N|N|S|2010-11|SEP|1|Selectividad|5|LOE (Grados)|5.9||215-I.E.S. JALAMA|H|1993-07-22|10.0|CÁCERES|12.0|ACEBO
192|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2006-07|SEP|1|Selectividad|1|LOGSE|5.51|5.51|161-COLEGIO DIOCESANO SAN ATÓN|H|1989-05-04|6.0|BADAJOZ|1.0|BADAJOZ
193|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2011-12|N|S|I|N|S|2010-11|SEP|1|Selectividad|5|LOE (Grados)|5.018|5.018|138-I.E.S. SAN JOSÉ (Villanueva)|H|1992-10-12|6.0|BADAJOZ|760.0|VILLANUEVA DE LA SERENA
195|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.606|7.606|121-I.E.S. BÁRBARA DE BRAGANZA|H|1994-06-13|10.0|CÁCERES|1.0|CÁCERES
197|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|8.922|10.022|116-I.E.S. FRANCISCO VERA|D|1994-11-05|6.0|BADAJOZ|1.0|BADAJOZ
198|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|S|I|N|S|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.928|6.928|141-I.E.S. RODRÍGUEZ MOÑINO|H|1994-03-16|6.0|BADAJOZ|1.0|BADAJOZ
204|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|9.578|13.378|171-I.E.S. VIRGEN DE GRACIA|H|1994-02-26|6.0|BADAJOZ|790.0|ZAHÍNOS
205|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.056|7.056|238-COLEGIO LICENCIADOS REUNIDOS|H|1994-03-15|10.0|CÁCERES|1.0|CÁCERES
208|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|N|S|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.626|7.976|230-I.E.S. EL BROCENSE|H|1994-02-05|10.0|CÁCERES|264.0|CORIA
210|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.678|10.278|173-COLEGIO SAN JOSÉ (Villafranca)|H|1994-12-19|6.0|BADAJOZ|265.0|FUENTE DEL MAESTRE
211|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|8.092|10.192|223-I.E.S. SAN MARTÍN|H|1994-12-10|10.0|CÁCERES|356.0|GUIJO DE SANTA BÁRBARA
212|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|3|Formación Profesional|1|Ciclos formativos|9.43|9.43|216-I.E.S. AUGUSTÓBRIGA|H|1985-07-26|10.0|CÁCERES|1.0|CÁCERES
213|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|3|Formación Profesional|1|Ciclos formativos|9.08|9.08||H|1990-03-23|6.0|BADAJOZ|1.0|BADAJOZ
222|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.328|9.128|208-I.E.S. G. TORRENTE BALLESTER|D|1994-02-13|10.0|CÁCERES|476.0|MIAJADAS
223|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.176|9.576|229-COLEGIO LA ASUNCIÓN (Cáceres)|D|1994-06-08|10.0|CÁCERES|1.0|CÁCERES
224|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|N|S|2011-12|JUN|1|Selectividad|5|LOE (Grados)|5.822|7.022|240-I.E.S. ÁGORA|H|1994-02-01|10.0|CÁCERES|1.0|CÁCERES
230|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|N|S|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.006|6.006|214-SGDO.COR. JESUS Y MªINMACULADA|H|1993-09-30|8.0|BARCELONA|733.0|SANT BOI DE LLOBREGAT
231|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|S|I|N|S|2011-12|JUN|1|Selectividad|5|LOE (Grados)|5.832|5.832|168-I.E.S. EMÉRITA AUGUSTA|H|1993-08-05|6.0|BADAJOZ|410.0|MÉRIDA
237|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.574|7.574|211-I.E.S. GREGORIO MARAÑÓN|D|1993-09-02|10.0|CÁCERES|160.0|CAMINOMORISCO
